SYEAR,AREA,RNAME,DNAME,VCODE,STYPE,SID,S001,S002,S003,S004,S004t,S004g,S004b,S004V,S004H,S004P,S004I,S004BHV,S004MUL,S004FR,S004FT,S004FHO,S004FO,S006,S006a,S007E,S007P,S008TA,S008TP,S009a,S009b,S009c,S009d,S009e,S009f,S009z,S010a,S010b,S010c,S010d,S010e,S010z,S010T0,S010T15,S010T30,S010T31,S011a,S011b,S011c,S011d,S011e,S011e1,S011f,S011g,S011k,S011m,S011n,S011q,S011n,S011p,S012a,S012b,S012c,S012d,S012e,S012f,S012g,S012h,S012j,S012k,S012L,S012m,SF0,S014,S015,S016,S017,S0181,S0181a,S0182,S0182a,S018PVT1,S018PVT2,S018PVT3,S018PVT4,S018PVT5,S018PVT6,S019a1,S019b1,S019c1,S019d1,S019e1,S019f1,S019g1,S019h1,S019i1,S019j1,S019k1,S019m1,S019n1,S019p1,S019q1,S019r1,S019s1,S019t1,S019a2,S019b2,S019c2,S019d2,S019e2,S019f2,S019g2,S019h2,S019i2,S019j2,S019k2,S019m2,S019n2,S019p2,S019q2,S019r2,S019s2,S019t2
2019,1,BALOCHISTAN,QUETTA,,1,24,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,57,48,1,1,,,,,1,,,,,,1,,,1,,,,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,1,,1,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,25,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,180,150,6,6,,,,,3,,,,,3,3,,,,,,,5,5,0,1,1,0,0,0,0,0,1,0,0,0,1,1,,,1,,1,,0,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,26,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,570,,26,26,,,,,,,,,,,,,,,,,,16,16,1,1,1,1,0,1,0,0,0,1,1,1,0,,0,,0,0,1,0,1,0,1,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,27,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,410,,1,1,,,,,,,1,,,,1,,,,,1,,16,12,1,0,1,1,1,1,1,0,1,0,1,0,0,,0,,0,0,0,,1,,1,,1,-1,6,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,28,3,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,,,137,121,35,35,,,,,13,5,3,,,15,13,5,,,,,,16,16,1,1,1,0,0,0,1,0,1,0,0,0,0,,0,,1,1,1,1,1,1,1,1,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,29,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,153,,9,9,,,,,,,,1,,,2,2,,,2,,,7,,1,0,1,0,0,0,1,1,0,1,1,1,1,"3,4",,,0,,1,,1,,1,,1,-1,2,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,88,76,5,5,,,,1,2,2,,,,2,2,,,0,,,,4,4,1,1,0,0,0,0,0,0,1,0,0,0,1,"3,4",,,1,,1,,1,,1,,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,31,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,149,,8,8,,,,1,3,2,,,,2,2,2,,,,2,,7,7,0,0,0,0,0,1,1,1,0,1,1,1,0,,,,0,,1,,1,,1,,1,-1,4,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,32,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,170,154,7,7,,,,3,2,2,,,,3,2,2,,,,,,5,5,1,1,1,0,0,1,0,0,0,0,0,0,0,,,,1,,1,,1,,1,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,QUETTA,,1,33,2,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,,,539,,31,31,,,,10,10,8,3,,,7,13,8,,,,,,16,16,0,0,0,0,0,,1,1,1,1,1,1,1,"3,4",1,7,1,1,1,1,1,1,1,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
